date,temperature,humidity,luminosity
2023-12-07 15:47:12.291,21.3,34.8,103
2023-12-07 15:47:11.284,21.3,34.8,103
2023-12-07 15:47:10.284,21.3,34.8,103
2023-12-07 15:47:09.276,21.3,34.7,103
2023-12-07 15:47:08.272,21.3,34.7,103
2023-12-07 15:47:07.265,21.3,34.7,103
2023-12-07 15:47:06.265,21.3,34.7,103
2023-12-07 15:47:05.257,21.3,34.7,103
2023-12-07 15:47:04.254,21.3,34.7,103
2023-12-07 15:47:03.246,21.3,34.8,103
2023-12-07 15:47:02.246,21.3,34.8,103
2023-12-07 15:47:01.239,21.3,34.8,103
2023-12-07 15:47:00.235,21.3,34.8,103
2023-12-07 15:46:59.228,21.3,34.8,102
2023-12-07 15:46:58.228,21.3,34.8,103
2023-12-07 15:46:57.220,21.3,34.8,104
2023-12-07 15:46:56.217,21.3,34.8,101
2023-12-07 15:46:55.209,21.3,34.8,101
2023-12-07 15:46:54.209,21.3,34.8,103
2023-12-07 15:46:53.202,21.3,34.9,103
2023-12-07 15:46:52.198,21.3,34.9,103
2023-12-07 15:46:51.190,21.3,34.9,104
2023-12-07 15:46:50.191,21.3,34.9,103
2023-12-07 15:46:49.183,21.3,34.9,104
2023-12-07 15:46:48.179,21.3,34.9,102
2023-12-07 15:46:47.172,21.3,34.9,103
2023-12-07 15:46:46.172,21.3,34.9,103
2023-12-07 15:46:45.164,21.3,34.9,103
2023-12-07 15:46:44.161,21.3,34.9,104
2023-12-07 15:46:43.153,21.3,35.0,104
2023-12-07 15:46:42.153,21.3,35.0,104
2023-12-07 15:46:41.145,21.3,35.0,104
2023-12-07 15:46:40.142,21.3,35.0,104
2023-12-07 15:46:39.134,21.3,35.0,104
2023-12-07 15:46:38.135,21.3,35.0,104
2023-12-07 15:46:37.127,21.3,35.1,104
2023-12-07 15:46:36.123,21.3,35.1,104
2023-12-07 15:46:35.115,21.3,35.1,104
2023-12-07 15:46:34.116,21.3,35.1,103
2023-12-07 15:46:33.109,21.3,35.2,104
2023-12-07 15:46:32.105,21.3,35.2,104
2023-12-07 15:46:31.097,21.3,35.2,104
2023-12-07 15:46:30.098,21.3,35.2,104
2023-12-07 15:46:29.090,21.3,35.3,104
2023-12-07 15:46:28.086,21.3,35.3,104
2023-12-07 15:46:27.078,21.3,35.3,104
2023-12-07 15:46:26.079,21.3,35.3,104
2023-12-07 15:46:25.071,21.3,35.3,105
2023-12-07 15:46:24.068,21.3,35.3,105
2023-12-07 15:46:23.060,21.3,34.8,104
2023-12-07 15:46:22.060,21.3,34.8,104
2023-12-07 15:46:21.053,21.3,34.8,104
2023-12-07 15:46:20.048,21.3,34.8,104
2023-12-07 15:46:19.040,21.3,34.8,104
2023-12-07 15:46:18.041,21.3,34.8,104
2023-12-07 15:46:17.033,21.3,34.8,104
2023-12-07 15:46:16.030,21.3,34.8,104
2023-12-07 15:46:15.022,21.3,34.8,104
2023-12-07 15:46:14.022,21.3,34.8,104
2023-12-07 15:46:13.015,21.3,34.9,104
2023-12-07 15:46:12.011,21.3,34.9,104
2023-12-07 15:46:11.003,21.3,34.9,104
2023-12-07 15:46:10.004,21.3,34.9,104
2023-12-07 15:46:08.996,21.3,34.9,104
2023-12-07 15:46:07.992,21.3,34.9,104
2023-12-07 15:46:06.985,21.3,34.9,104
2023-12-07 15:46:05.985,21.3,34.9,104
2023-12-07 15:46:04.977,21.3,34.9,104
2023-12-07 15:46:03.974,21.3,34.9,104
2023-12-07 15:46:02.966,21.3,34.9,104
2023-12-07 15:46:01.966,21.3,34.9,104
2023-12-07 15:46:00.959,21.3,34.9,104
2023-12-07 15:45:59.955,21.3,34.9,104
2023-12-07 15:45:58.947,21.3,34.9,104
2023-12-07 15:45:57.948,21.3,34.9,104
2023-12-07 15:45:56.940,21.3,35.0,104
2023-12-07 15:45:55.937,21.3,35.0,104
2023-12-07 15:45:54.929,21.4,35.0,103
2023-12-07 15:45:53.929,21.4,35.0,104
2023-12-07 15:45:52.921,21.3,35.0,104
2023-12-07 15:45:51.918,21.3,35.0,104
2023-12-07 15:45:50.910,21.3,35.0,104
2023-12-07 15:45:49.910,21.3,35.0,104
2023-12-07 15:45:48.903,21.3,35.0,104
2023-12-07 15:45:47.899,21.3,35.0,104
2023-12-07 15:45:46.892,21.3,35.0,104
2023-12-07 15:45:45.892,21.3,35.0,104
2023-12-07 15:45:44.884,21.3,35.0,104
2023-12-07 15:45:43.881,21.3,35.0,104
2023-12-07 15:45:42.873,21.3,35.0,104
2023-12-07 15:45:41.873,21.3,35.0,104
2023-12-07 15:45:40.866,21.4,35.0,104
2023-12-07 15:45:39.862,21.4,35.0,104
2023-12-07 15:45:38.855,21.3,35.0,104
2023-12-07 15:45:37.854,21.3,35.0,103
2023-12-07 15:45:36.847,21.3,35.0,104
2023-12-07 15:45:35.843,21.3,35.0,104
2023-12-07 15:45:34.835,21.3,35.0,104
2023-12-07 15:45:33.836,21.3,35.0,103
2023-12-07 15:45:32.828,21.4,35.1,104
2023-12-07 15:45:31.825,21.4,35.1,104
2023-12-07 15:45:30.817,21.3,35.0,103
2023-12-07 15:45:29.818,21.3,35.0,103
2023-12-07 15:45:28.810,21.3,35.0,104
2023-12-07 15:45:27.806,21.3,35.0,103
2023-12-07 15:45:26.798,21.3,34.9,103
2023-12-07 15:45:25.799,21.3,34.9,103
2023-12-07 15:45:24.791,21.3,34.9,103
2023-12-07 15:45:23.788,21.3,34.9,103
2023-12-07 15:45:22.780,21.3,35.0,103
2023-12-07 15:45:21.780,21.3,35.0,103
2023-12-07 15:45:20.773,21.3,35.0,103
2023-12-07 15:45:19.768,21.3,35.0,103
2023-12-07 15:45:18.760,21.3,35.0,103
2023-12-07 15:45:17.761,21.3,35.0,102
2023-12-07 15:45:16.753,21.3,35.0,103
2023-12-07 15:45:15.749,21.3,35.0,103
2023-12-07 15:45:14.741,21.3,35.0,103
2023-12-07 15:45:13.742,21.3,35.0,103
2023-12-07 15:45:12.734,21.3,35.0,103
2023-12-07 15:45:11.730,21.3,35.0,103
2023-12-07 15:45:10.723,21.3,35.0,103
2023-12-07 15:45:09.723,21.3,35.0,103
2023-12-07 15:45:08.716,21.3,35.0,103
2023-12-07 15:45:07.711,21.3,35.0,103
2023-12-07 15:45:06.704,21.4,35.1,103
2023-12-07 15:45:05.704,21.4,35.1,103
2023-12-07 15:45:04.697,21.3,35.0,103
2023-12-07 15:45:03.693,21.3,35.0,103
2023-12-07 15:45:02.685,21.3,35.0,103
2023-12-07 15:45:01.686,21.3,35.0,103
2023-12-07 15:45:00.678,21.4,35.1,103
2023-12-07 15:44:59.674,21.4,35.1,102
2023-12-07 15:44:58.666,21.3,35.0,102
2023-12-07 15:44:57.667,21.3,35.0,102
2023-12-07 15:44:56.656,21.4,35.2,102
2023-12-07 15:44:55.656,21.4,35.2,102
2023-12-07 15:44:54.648,21.4,35.2,102
2023-12-07 15:44:53.648,21.4,35.2,102
2023-12-07 15:44:52.637,21.4,35.2,103
2023-12-07 15:44:51.638,21.4,35.2,103
2023-12-07 15:44:50.630,21.4,35.2,103
2023-12-07 15:44:49.630,21.4,35.2,103
2023-12-07 15:44:48.618,21.4,35.1,103
2023-12-07 15:44:47.618,21.4,35.1,103
2023-12-07 15:44:46.610,21.4,35.1,103
2023-12-07 15:44:45.611,21.4,35.1,103
2023-12-07 15:44:44.599,21.4,35.1,101
2023-12-07 15:44:43.600,21.4,35.1,101
2023-12-07 15:44:42.592,21.4,35.1,101
2023-12-07 15:44:41.588,21.4,35.1,100
2023-12-07 15:44:40.581,21.4,35.1,103
2023-12-07 15:44:39.581,21.4,35.1,102
2023-12-07 15:44:38.573,21.4,35.0,103
2023-12-07 15:44:37.570,21.4,35.0,102
2023-12-07 15:44:36.562,21.4,35.0,102
2023-12-07 15:44:35.563,21.4,35.0,102
2023-12-07 15:44:34.555,21.4,35.0,102
2023-12-07 15:44:33.551,21.4,35.0,102
2023-12-07 15:44:32.543,21.4,35.0,102
2023-12-07 15:44:31.544,21.4,35.0,102
2023-12-07 15:44:30.536,21.4,35.0,103
2023-12-07 15:44:29.533,21.4,35.0,102
2023-12-07 15:44:28.525,21.4,35.0,102
2023-12-07 15:44:27.526,21.4,35.0,103
2023-12-07 15:44:26.517,21.4,35.1,103
2023-12-07 15:44:25.514,21.4,35.1,103
2023-12-07 15:44:24.506,21.4,35.1,103
2023-12-07 15:44:23.507,21.4,35.1,102
2023-12-07 15:44:22.499,21.4,35.1,103
2023-12-07 15:44:21.495,21.4,35.1,103
2023-12-07 15:44:20.487,21.4,35.0,103
2023-12-07 15:44:19.488,21.4,35.0,103
2023-12-07 15:44:18.480,21.4,35.0,103
2023-12-07 15:44:17.476,21.4,35.0,103
2023-12-07 15:44:16.469,21.4,35.0,103
2023-12-07 15:44:15.469,21.4,35.0,103
2023-12-07 15:44:14.461,21.4,35.1,103
2023-12-07 15:44:13.458,21.4,35.1,103
2023-12-07 15:44:12.450,21.4,35.1,103
2023-12-07 15:44:11.451,21.4,35.1,103
2023-12-07 15:44:10.443,21.4,35.1,103
2023-12-07 15:44:09.439,21.4,35.1,103
2023-12-07 15:44:08.432,21.4,35.2,103
2023-12-07 15:44:07.432,21.4,35.2,103
2023-12-07 15:44:06.424,21.4,35.2,103
2023-12-07 15:44:05.421,21.4,35.2,103
2023-12-07 15:44:04.413,21.4,35.2,103
2023-12-07 15:44:03.413,21.4,35.2,103
2023-12-07 15:44:02.405,21.4,35.3,103
2023-12-07 15:44:01.402,21.4,35.3,103
2023-12-07 15:44:00.394,21.4,35.3,103
2023-12-07 15:43:59.395,21.4,35.3,103
2023-12-07 15:43:58.387,21.4,35.3,103
2023-12-07 15:43:57.383,21.4,35.3,103
2023-12-07 15:43:56.376,21.4,35.3,103
2023-12-07 15:43:55.376,21.4,35.3,103
2023-12-07 15:43:54.368,21.4,35.3,103
2023-12-07 15:43:53.365,21.4,35.3,103
2023-12-07 15:43:52.357,21.4,35.3,103
2023-12-07 15:43:51.358,21.4,35.3,103
2023-12-07 15:43:50.350,21.4,35.3,103
2023-12-07 15:43:49.346,21.4,35.3,103
2023-12-07 15:43:48.338,21.4,35.3,104
2023-12-07 15:43:47.339,21.4,35.3,104
2023-12-07 15:43:46.331,21.4,35.4,104
2023-12-07 15:43:45.328,21.4,35.4,103
2023-12-07 15:43:44.320,21.4,35.4,103
2023-12-07 15:43:43.320,21.4,35.4,103
2023-12-07 15:43:42.312,21.5,35.4,103
2023-12-07 15:43:41.309,21.5,35.4,103
2023-12-07 15:43:40.301,21.4,35.4,103
2023-12-07 15:43:39.302,21.4,35.4,103
2023-12-07 15:43:38.294,21.4,35.4,103
2023-12-07 15:43:37.290,21.4,35.4,103
2023-12-07 15:43:36.283,21.4,35.3,103
2023-12-07 15:43:35.283,21.4,35.3,103
2023-12-07 15:43:34.275,21.4,35.3,103
2023-12-07 15:43:33.272,21.4,35.3,103
2023-12-07 15:43:32.264,21.4,35.3,103
2023-12-07 15:43:31.264,21.4,35.3,103
2023-12-07 15:43:30.256,21.4,35.4,103
2023-12-07 15:43:29.253,21.4,35.4,103
2023-12-07 15:43:28.245,21.5,35.6,104
2023-12-07 15:43:27.245,21.5,35.6,104
2023-12-07 15:43:26.238,21.4,35.5,103
2023-12-07 15:43:25.234,21.4,35.5,103
